Year,Division,School,Level,Subgroup,Test Level,Subject Area,Subject,Percent Pass
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Female,,MATH,Mathematics,71
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,,MATH,Mathematics,73
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,,MATH,Mathematics,53
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Male,,MATH,Mathematics,80
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Military Connected,,MATH,Mathematics,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Multiple Races,,MATH,Mathematics,100
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,,MATH,Mathematics,88
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,,MATH,Mathematics,50
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,,MATH,Mathematics,78
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,White,,MATH,Mathematics,77
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,,ENGR,English Reading,65
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,American Indian,,ENGR,English Reading,<
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,,ENGR,English Reading,93
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,,ENGR,English Reading,50
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Economically Disadvantaged,,ENGR,English Reading,61
