ID Age,Age,ID Year,Year,ID Poverty Status,Poverty Status,Poverty Population,Poverty Population Moe,Geography,ID Geography,Slug Geography,share,Sex,ID Sex
7,"25 to 34 Years",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",268,135,"Sterling, VA","16000US5175376","sterling-va",0.12623645784267545,"Female",1
8,"35 to 44 Years",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",49,40,"Sterling, VA","16000US5175376","sterling-va",0.023080546396608573,"Male",0
8,"35 to 44 Years",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",238,129,"Sterling, VA","16000US5175376","sterling-va",0.11210551106924165,"Female",1
9,"45 to 54 Years",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",127,81,"Sterling, VA","16000US5175376","sterling-va",0.05982100800753651,"Male",0
9,"45 to 54 Years",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",100,81,"Sterling, VA","16000US5175376","sterling-va",0.047103155911446065,"Female",1
10,"55 to 64 Years",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",24,27,"Sterling, VA","16000US5175376","sterling-va",0.011304757418747056,"Male",0
10,"55 to 64 Years",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",65,51,"Sterling, VA","16000US5175376","sterling-va",0.030617051342439944,"Female",1
11,"65 to 74 Years",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",0,22,"Sterling, VA","16000US5175376","sterling-va",0,"Male",0
11,"65 to 74 Years",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",145,99,"Sterling, VA","16000US5175376","sterling-va",0.0682995760715968,"Female",1
12,"75 Years & Over",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",0,22,"Sterling, VA","16000US5175376","sterling-va",0,"Male",0
12,"75 Years & Over",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",134,70,"Sterling, VA","16000US5175376","sterling-va",0.06311822892133773,"Female",1
0,"Under 5 Years",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",138,96,"Sterling, VA","16000US5175376","sterling-va",0.07705192629815745,"Male",0
0,"Under 5 Years",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",39,37,"Sterling, VA","16000US5175376","sterling-va",0.021775544388609715,"Female",1
1,"5 Years",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",30,37,"Sterling, VA","16000US5175376","sterling-va",0.01675041876046901,"Male",0
1,"5 Years",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",53,53,"Sterling, VA","16000US5175376","sterling-va",0.02959240647682859,"Female",1
2,"6 to 11 Years",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",51,51,"Sterling, VA","16000US5175376","sterling-va",0.02847571189279732,"Male",0
2,"6 to 11 Years",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",82,64,"Sterling, VA","16000US5175376","sterling-va",0.04578447794528197,"Female",1
3,"12 to 14 Years",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",60,67,"Sterling, VA","16000US5175376","sterling-va",0.03350083752093802,"Male",0
3,"12 to 14 Years",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",8,12,"Sterling, VA","16000US5175376","sterling-va",0.00446677833612507,"Female",1
4,"15 Years",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",22,37,"Sterling, VA","16000US5175376","sterling-va",0.012283640424343942,"Male",0
